"popul","TVnews","selfLR","ClinLR","DoleLR","PID","age","educ","income","vote"
0,7,"extCon","extLib","Con","Republican",36,"HS",1.5,"Dole"
190,1,"sliLib","sliLib","sliCon","Democrat",20,"Coll",1.5,"Clinton"
31,7,"Lib","Lib","Con","Democrat",24,"BAdeg",1.5,"Clinton"
83,4,"sliLib","Mod","sliCon","Democrat",28,"BAdeg",1.5,"Clinton"
640,7,"sliCon","Con","Mod","Democrat",68,"BAdeg",1.5,"Clinton"
110,3,"sliLib","Mod","Con","Democrat",21,"Coll",1.5,"Clinton"
100,7,"sliCon","Con","Mod","Democrat",77,"Coll",1.5,"Clinton"
31,1,"sliCon","Mod","sliCon","Independent",21,"Coll",1.5,"Clinton"
180,7,"Mod","Con","sliLib","Independent",31,"Coll",1.5,"Clinton"
2800,0,"sliLib","sliLib","extCon","Democrat",39,"HS",1.5,"Clinton"
1600,0,"sliLib","Lib","Mod","Independent",26,"HSdrop",1.5,"Clinton"
330,5,"Mod","sliLib","Con","Democrat",31,"Coll",1.5,"Clinton"
190,2,"sliCon","Mod","Con","Republican",22,"Coll",1.5,"Dole"
100,7,"Mod","Mod","Con","Democrat",42,"CCdeg",1.5,"Clinton"
1000,7,"sliCon","extCon","Mod","Democrat",74,"MS",1.5,"Clinton"
0,7,"Con","extCon","sliCon","Democrat",62,"HS",1.5,"Clinton"
130,7,"Mod","Mod","sliCon","Democrat",58,"HS",1.5,"Clinton"
5,5,"sliLib","sliLib","Con","Democrat",24,"BAdeg",1.5,"Clinton"
33,7,"Con","Lib","Con","Republican",51,"Coll",1.5,"Dole"
19,2,"Lib","extLib","Mod","Democrat",36,"HS",4,"Clinton"
74,7,"Mod","Mod","extCon","Independent",88,"HSdrop",4,"Clinton"
190,0,"Lib","Mod","Con","Independent",20,"Coll",4,"Clinton"
12,3,"Mod","Con","sliLib","Independent",27,"HS",4,"Clinton"
0,7,"Con","extLib","Con","Republican",44,"Coll",4,"Dole"
19,0,"Mod","Lib","Lib","Democrat",45,"HS",4,"Clinton"
0,2,"Mod","sliLib","Con","Democrat",21,"Coll",4,"Clinton"
390,5,"sliLib","Mod","extCon","Democrat",40,"CCdeg",4,"Clinton"
40,7,"Mod","sliLib","Mod","Democrat",40,"BAdeg",4,"Clinton"
3,3,"sliCon","sliCon","Mod","Democrat",48,"HS",4,"Clinton"
450,3,"Mod","extCon","extLib","Democrat",34,"HS",4,"Clinton"
350,0,"sliLib","Mod","extCon","Independent",26,"HSdrop",4,"Clinton"
64,3,"Mod","Mod","Lib","Democrat",60,"HSdrop",6,"Clinton"
3,0,"Mod","Mod","sliLib","Democrat",32,"HS",6,"Clinton"
0,1,"Mod","sliLib","extCon","Democrat",31,"HS",6,"Clinton"
640,7,"extCon","sliCon","extCon","Independent",33,"HS",6,"Dole"
0,7,"sliLib","Mod","Con","Democrat",57,"HS",6,"Clinton"
12,7,"Mod","sliLib","Con","Democrat",84,"HS",6,"Clinton"
62,6,"extCon","Lib","extCon","Republican",75,"HS",6,"Dole"
31,2,"extCon","Lib","Con","Republican",19,"Coll",6,"Dole"
0,1,"sliLib","Lib","Con","Democrat",47,"BAdeg",6,"Clinton"
180,6,"sliCon","sliCon","sliCon","Democrat",51,"HSdrop",6,"Clinton"
640,3,"Con","Mod","Mod","Republican",40,"HS",6,"Clinton"
110,0,"Lib","sliLib","Con","Democrat",22,"BAdeg",6,"Clinton"
100,1,"extCon","extCon","sliCon","Republican",35,"HSdrop",6,"Clinton"
100,7,"Mod","Mod","extCon","Independent",43,"CCdeg",6,"Clinton"
11,3,"Con","Con","sliLib","Independent",76,"BAdeg",6,"Clinton"
0,7,"Mod","sliLib","extLib","Republican",45,"HS",6,"Dole"
4,7,"Mod","Con","Con","Democrat",88,"HSdrop",6,"Clinton"
35,6,"Mod","Mod","Lib","Democrat",46,"HS",8,"Clinton"
0,1,"sliLib","Mod","sliCon","Independent",22,"BAdeg",8,"Clinton"
0,7,"sliCon","extLib","Con","Republican",68,"HS",8,"Dole"
0,2,"sliCon","Lib","Con","Republican",38,"HS",8,"Dole"
33,7,"Mod","sliLib","Con","Independent",69,"HSdrop",8,"Clinton"
270,2,"sliCon","Mod","sliLib","Democrat",67,"HS",8,"Clinton"
45,7,"Lib","Mod","Con","Democrat",88,"Coll",8,"Clinton"
40,3,"Con","Lib","sliCon","Republican",68,"HS",8,"Dole"
6,1,"sliCon","Lib","Mod","Independent",76,"HS",8,"Dole"
2,7,"Mod","Mod","Con","Democrat",72,"HSdrop",8,"Clinton"
0,0,"Con","Lib","Con","Republican",37,"BAdeg",8,"Dole"
35,3,"Mod","Lib","Con","Democrat",69,"HS",8,"Clinton"
83,0,"Lib","Mod","Con","Democrat",33,"BAdeg",8,"Clinton"
3500,7,"Lib","Lib","Con","Democrat",34,"Coll",8,"Clinton"
100,2,"Mod","Mod","extCon","Independent",30,"HS",8,"Clinton"
350,2,"sliLib","sliLib","Con","Democrat",19,"HS",8,"Clinton"
100,3,"Mod","Con","Lib","Democrat",44,"HS",8,"Clinton"
67,1,"Mod","Mod","extCon","Democrat",64,"HS",8,"Clinton"
30,5,"extCon","extCon","Lib","Democrat",37,"Coll",8,"Clinton"
0,7,"Con","sliLib","sliCon","Independent",31,"CCdeg",9.5,"Dole"
0,0,"Con","extLib","sliCon","Independent",88,"Coll",9.5,"Dole"
6,7,"Con","Lib","Con","Republican",77,"Coll",9.5,"Dole"
350,1,"Mod","sliCon","Con","Republican",30,"BAdeg",9.5,"Clinton"
400,1,"Lib","sliLib","extCon","Democrat",32,"Coll",9.5,"Clinton"
15,7,"Con","Lib","Con","Republican",59,"MS",9.5,"Dole"
0,0,"Mod","Mod","Mod","Independent",47,"Coll",9.5,"Clinton"
3,2,"Mod","Con","sliCon","Democrat",22,"HS",9.5,"Clinton"
22,5,"Mod","Lib","Con","Independent",55,"HS",9.5,"Clinton"
64,2,"Lib","extLib","sliLib","Democrat",24,"HSdrop",9.5,"Clinton"
32,5,"sliLib","extCon","Mod","Democrat",65,"MS",9.5,"Clinton"
390,7,"sliLib","Con","Lib","Independent",24,"HS",9.5,"Clinton"
